# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	68	1216	-	MJEBLD_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF4
contig_1	cds	1209	2192	-	MJEBLD_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF5
contig_1	cds	2352	3137	-	MJEBLD_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF6
contig_1	cds	3130	3750	-	MJEBLD_00004	262.0	1.2e-85	1.0	0.824	0.709	UniRef:UniRef90_UPI0025433814
contig_1	cds	3940	5610	-	MJEBLD_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF7
contig_1	cds	5714	6973	+	MJEBLD_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF8
contig_1	cds	6936	8609	-	MJEBLD_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMF9
contig_1	cds	8619	9446	-	MJEBLD_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG0
contig_1	cds	9601	11430	+	MJEBLD_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG1
contig_1	cds	11445	12908	-	MJEBLD_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG2
contig_1	cds	13030	14070	-	MJEBLD_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG3
contig_1	cds	14080	15492	-	MJEBLD_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG4
contig_1	cds	15598	19590	-	MJEBLD_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG5
contig_1	cds	19593	20618	-	MJEBLD_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG6
contig_1	cds	20622	20936	-	MJEBLD_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG7
contig_1	cds	20993	21733	-	MJEBLD_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG8
contig_1	cds	21873	22835	+	MJEBLD_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMG9
contig_1	cds	23018	23785	-	MJEBLD_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH0
contig_1	cds	23789	24706	-	MJEBLD_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH1
contig_1	cds	24707	25582	-	MJEBLD_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH2
contig_1	cds	25655	26656	-	MJEBLD_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH3
contig_1	cds	26780	28309	+	MJEBLD_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH4
contig_1	cds	28303	28752	-	MJEBLD_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH5
contig_1	cds	28807	29523	-	MJEBLD_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6MMH6
contig_1	cds	29578	30171	+	MJEBLD_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001E581250
