# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	68	1216	-	MJEBLD_00001	wecE	Putative aminotransferase	COG:COG0399, COG:M, RefSeq:WP_011164152.1, SO:0001217, UniParc:UPI0000224D32, UniRef:UniRef100_Q6MMF4, UniRef:UniRef50_A0A7W0BZN3, UniRef:UniRef90_Q6MMF4
contig_1	cds	1209	2192	-	MJEBLD_00002	wcaG	putative UDP-glucose 4-epimerase	COG:COG0451, COG:M, RefSeq:WP_011164151.1, SO:0001217, UniParc:UPI0000224D31, UniRef:UniRef100_Q6MMF5, UniRef:UniRef50_A0A1V5DRA6, UniRef:UniRef90_Q6MMF5
contig_1	cds	2352	3137	-	MJEBLD_00003		6-hydroxymethylpterin diphosphokinase MptE-like domain-containing protein	RefSeq:WP_011164150.1, SO:0001217, UniParc:UPI0000224D30, UniRef:UniRef100_Q6MMF6, UniRef:UniRef50_Q6MMF6, UniRef:UniRef90_Q6MMF6
contig_1	cds	3130	3750	-	MJEBLD_00004		Glycosyl transferase family 1	SO:0001217, UniRef:UniRef50_A0A2D7SQF3
contig_1	cds	3940	5610	-	MJEBLD_00005	mdoB	Putative phosphoglycerol transferase	COG:COG1368, COG:M, SO:0001217, UniParc:UPI0000224D2F, UniRef:UniRef100_Q6MMF7, UniRef:UniRef50_Q6MMF7, UniRef:UniRef90_Q6MMF7
contig_1	cds	5714	6973	+	MJEBLD_00006	rfaL	Putative O-antigen ligase WaaL	COG:COG3307, COG:M, RefSeq:WP_011164148.1, SO:0001217, UniParc:UPI0000224D2E, UniRef:UniRef100_Q6MMF8, UniRef:UniRef50_Q6MMF8, UniRef:UniRef90_Q6MMF8
contig_1	cds	6936	8609	-	MJEBLD_00007	mdoB	Putative cyclic beta-1,2-glucan modification protein	COG:COG1368, COG:M, SO:0001217, UniParc:UPI0000224D2D, UniRef:UniRef100_Q6MMF9, UniRef:UniRef50_Q6MMF7, UniRef:UniRef90_Q6MMF9
contig_1	cds	8619	9446	-	MJEBLD_00008		Putative N-acetylglucosaminyltransferase	EC:2.4.1.144, KEGG:K00737, RefSeq:WP_011164146.1, SO:0001217, UniParc:UPI0000224D2C, UniRef:UniRef100_Q6MMG0, UniRef:UniRef50_Q6MMG0, UniRef:UniRef90_Q6MMG0
contig_1	cds	9601	11430	+	MJEBLD_00009	mdoB	Phosphoglycerol transferase	COG:COG1368, COG:M, RefSeq:WP_011164145.1, SO:0001217, UniParc:UPI0000224D2B, UniRef:UniRef100_Q6MMG1, UniRef:UniRef50_K7YNG5, UniRef:UniRef90_K7YNG5
contig_1	cds	11445	12908	-	MJEBLD_00010	arnT	Glycosyltransferase RgtA/B/C/D-like domain-containing protein	COG:COG1807, COG:M, RefSeq:WP_011164144.1, SO:0001217, UniParc:UPI0000224D2A, UniRef:UniRef100_Q6MMG2, UniRef:UniRef50_Q6MMG2, UniRef:UniRef90_Q6MMG2
contig_1	cds	13030	14070	-	MJEBLD_00011		SGNH hydrolase-type esterase domain-containing protein	RefSeq:WP_041583515.1, SO:0001217, UniParc:UPI0002FB14A1, UniRef:UniRef100_Q6MMG3, UniRef:UniRef50_K7YUN5, UniRef:UniRef90_K7YUN5
contig_1	cds	14080	15492	-	MJEBLD_00012	dltB	Alginate o-acetyltransferase AlgI	COG:COG1696, COG:M, KEGG:K19294, RefSeq:WP_011164142.1, SO:0001217, UniParc:UPI0000224D28, UniRef:UniRef100_Q6MMG4, UniRef:UniRef50_K7ZFB2, UniRef:UniRef90_K7ZFB2
contig_1	cds	15598	19590	-	MJEBLD_00013	hepA	Helicase/SNF2 family protein	COG:COG0553, COG:KL, SO:0001217, UniParc:UPI0000224D27, UniRef:UniRef100_Q6MMG5, UniRef:UniRef50_A0A162G022, UniRef:UniRef90_K7YX98
contig_1	cds	19593	20618	-	MJEBLD_00014	wcaG	CDP-D-glucose-4,6-dehydratase	COG:COG0451, COG:M, EC:4.2.1.45, KEGG:K01709, RefSeq:WP_011164140.1, SO:0001217, UniParc:UPI0000224D26, UniRef:UniRef100_Q6MMG6, UniRef:UniRef50_Q6MMG6, UniRef:UniRef90_Q6MMG6
contig_1	cds	20622	20936	-	MJEBLD_00015		N-acetyltransferase domain-containing protein	RefSeq:WP_011164139.1, SO:0001217, UniParc:UPI0000224D25, UniRef:UniRef100_Q6MMG7, UniRef:UniRef50_Q6MMG7, UniRef:UniRef90_Q6MMG7
contig_1	cds	20993	21733	-	MJEBLD_00016		hypothetical protein	RefSeq:WP_011164138.1, SO:0001217, UniParc:UPI0000224D24, UniRef:UniRef100_Q6MMG8, UniRef:UniRef50_Q6MMG8, UniRef:UniRef90_Q6MMG8
contig_1	cds	21873	22835	+	MJEBLD_00017		DUF6268 domain-containing protein	SO:0001217, UniParc:UPI0000224D23, UniRef:UniRef100_Q6MMG9, UniRef:UniRef50_A0A150WC34, UniRef:UniRef90_Q6MMG9
contig_1	cds	23018	23785	-	MJEBLD_00018	pstB	phosphate ABC transporter ATP-binding protein PstB	COG:COG1117, COG:P, EC:7.3.2.1, GO:0005524, GO:0005886, GO:0006817, GO:0009898, GO:0015415, GO:0016887, GO:0035435, GO:0055052, RefSeq:WP_011164136.1, SO:0001217, UniParc:UPI0000224D22, UniRef:UniRef100_Q6MMH0, UniRef:UniRef50_Q5WET7, UniRef:UniRef90_Q6MMH0
contig_1	cds	23789	24706	-	MJEBLD_00019	pstA	phosphate ABC transporter permease PstA	COG:COG0581, COG:P, GO:0005886, GO:0006817, GO:0015415, GO:0055052, RefSeq:WP_011164135.1, SO:0001217, UniParc:UPI0000224D21, UniRef:UniRef100_Q6MMH1, UniRef:UniRef50_A0A6I6MQL6, UniRef:UniRef90_Q6MMH1
contig_1	cds	24707	25582	-	MJEBLD_00020	pstC	phosphate ABC transporter permease subunit PstC	COG:COG0573, COG:P, GO:0005886, GO:0006817, GO:0015415, GO:0055052, RefSeq:WP_088565489.1, SO:0001217, UniParc:UPI0002EF23B3, UniRef:UniRef100_Q6MMH2, UniRef:UniRef50_A0A1B3LPD2, UniRef:UniRef90_Q6MMH2
contig_1	cds	25655	26656	-	MJEBLD_00021	pstS	Phosphate-binding protein	COG:COG0226, COG:P, RefSeq:WP_011164133.1, SO:0001217, UniParc:UPI0000224D1F, UniRef:UniRef100_Q6MMH3, UniRef:UniRef50_A0A069RGH7, UniRef:UniRef90_Q6MMH3
contig_1	cds	26780	28309	+	MJEBLD_00022		histidine kinase	COG:COG4191, COG:T, RefSeq:WP_011164132.1, SO:0001217, UniParc:UPI0000224D1E, UniRef:UniRef100_Q6MMH4, UniRef:UniRef50_K7YNE7, UniRef:UniRef90_K7YNE7
contig_1	cds	28303	28752	-	MJEBLD_00023	fur	Ferric uptake regulator-like protein	COG:COG0735, COG:P, RefSeq:WP_011164131.1, SO:0001217, UniParc:UPI0000224D1D, UniRef:UniRef100_Q6MMH5, UniRef:UniRef50_A0A0B8WG85, UniRef:UniRef90_Q6MMH5
contig_1	cds	28807	29523	-	MJEBLD_00024		Transmembrane protein	KEGG:K06203, RefSeq:WP_231839317.1, SO:0001217, UniParc:UPI001E50E092, UniRef:UniRef100_Q6MMH6, UniRef:UniRef50_A0A150WBX9, UniRef:UniRef90_A0A1Z3N939
contig_1	cds	29578	30171	+	MJEBLD_00025	phoE	Phosphoglycerate mutase	COG:COG0406, COG:G, RefSeq:WP_231839316.1, SO:0001217, UniParc:UPI001E581250, UniRef:UniRef100_UPI001E581250, UniRef:UniRef50_A0A150WLK7, UniRef:UniRef90_A0A1Z3N941
contig_1	cds	30156	32555	-	MJEBLD_00026		Cis/trans isomerase	RefSeq:WP_011164128.1, SO:0001217, UniParc:UPI0000224D1A, UniRef:UniRef100_Q6MMH8, UniRef:UniRef50_Q6MMH8, UniRef:UniRef90_Q6MMH8
contig_1	cds	32632	33150	+	MJEBLD_00027		DUF4375 domain-containing protein	RefSeq:WP_011164127.1, SO:0001217, UniParc:UPI0000224D19, UniRef:UniRef100_Q6MMH9, UniRef:UniRef50_K7YX85, UniRef:UniRef90_K7YX85
contig_1	cds	33234	34400	+	MJEBLD_00028	pepC	Aminopeptidase	COG:COG3579, COG:E, RefSeq:WP_011164126.1, SO:0001217, UniParc:UPI0000224D18, UniRef:UniRef100_Q6MMI0, UniRef:UniRef50_Q6MMI0, UniRef:UniRef90_Q6MMI0
contig_1	cds	34476	35591	+	MJEBLD_00029	ydiK	AI-2E family transporter YdiK	COG:COG0628, COG:R, RefSeq:WP_011164125.1, SO:0001217, UniParc:UPI0000224D17, UniRef:UniRef100_Q6MMI1, UniRef:UniRef50_Q6MMI1, UniRef:UniRef90_Q6MMI1
contig_1	cds	35620	36012	-	MJEBLD_00030		Putative ferredoxin	RefSeq:WP_011164124.1, SO:0001217, UniParc:UPI0000224D16, UniRef:UniRef100_Q6MMI2, UniRef:UniRef50_Q6MMI2, UniRef:UniRef90_Q6MMI2
contig_1	cds	36022	36210	-	MJEBLD_00031		Stress-induced protein	RefSeq:WP_011164123.1, SO:0001217, UniParc:UPI0000224D15, UniRef:UniRef100_Q6MMI3, UniRef:UniRef50_A0A514XHM1, UniRef:UniRef90_Q6MMI3
contig_1	cds	36509	36973	+	MJEBLD_00032		hypothetical protein	RefSeq:WP_050792908.1, SO:0001217, UniParc:UPI0002FAEE7F, UniRef:UniRef100_Q6MMI4, UniRef:UniRef50_K7Z9T0, UniRef:UniRef90_K7Z9T0
contig_1	cds	37081	37848	+	MJEBLD_00033		DUF4423 domain-containing protein	RefSeq:WP_011164121.1, SO:0001217, UniParc:UPI0000224D13, UniRef:UniRef100_Q6MMI5, UniRef:UniRef50_K7YUL3, UniRef:UniRef90_Q6MMI5
contig_1	cds	37845	37967	+	MJEBLD_00034		hypothetical protein	RefSeq:WP_011164120.1, SO:0001217, UniParc:UPI0000224D12, UniRef:UniRef100_Q6MMI6, UniRef:UniRef50_Q6MMI6, UniRef:UniRef90_Q6MMI6
contig_1	cds	38149	40431	+	MJEBLD_00035		Peptidase S74 domain-containing protein	RefSeq:WP_080558991.1, SO:0001217, UniParc:UPI00030E03D7, UniRef:UniRef100_Q6MMI8, UniRef:UniRef50_A0A514X1U5, UniRef:UniRef90_Q6MMI8
contig_1	tRNA	40439	40515	-	MJEBLD_00036	trnP	tRNA-Pro(ggg)	SO:0000268
contig_1	cds	40641	41180	-	MJEBLD_00037	soxR	Transcriptional regulator	COG:COG0789, COG:K, SO:0001217, UniRef:UniRef50_A0AA46T976, UniRef:UniRef90_K7YUK7
contig_1	cds	41155	41517	-	MJEBLD_00038	ihfA	integration host factor subunit alpha	COG:B, COG:COG0776, GO:0003677, GO:0005829, GO:0006310, GO:0006355, GO:0006417, GO:0030527, SO:0001217, UniParc:UPI00029D360E, UniRef:UniRef100_K7ZFA2, UniRef:UniRef50_Q6MMJ0, UniRef:UniRef90_Q6MMJ0
